year,period,periodName,latest,value,footnotes,seriesID
2018,A01,Annual,true,2336,,CXUFOODAWAYLB0402M
2017,A01,Annual,,2362,,CXUFOODAWAYLB0402M
2016,A01,Annual,,2250,,CXUFOODAWAYLB0402M
2015,A01,Annual,,2347,,CXUFOODAWAYLB0402M
2014,A01,Annual,,1926,,CXUFOODAWAYLB0402M
2013,A01,Annual,,2096,,CXUFOODAWAYLB0402M
2012,A01,Annual,,1883,,CXUFOODAWAYLB0402M
2011,A01,Annual,,1973,,CXUFOODAWAYLB0402M
2010,A01,Annual,,1876,,CXUFOODAWAYLB0402M
2009,A01,Annual,,1731,,CXUFOODAWAYLB0402M
2008,A01,Annual,,2117,,CXUFOODAWAYLB0402M
2007,A01,Annual,,1876,,CXUFOODAWAYLB0402M
2006,A01,Annual,,1973,,CXUFOODAWAYLB0402M
2018,A01,Annual,true,1128,,CXUAPPARELLB0402M
2017,A01,Annual,,1315,,CXUAPPARELLB0402M
2016,A01,Annual,,1216,,CXUAPPARELLB0402M
2015,A01,Annual,,1271,,CXUAPPARELLB0402M
2014,A01,Annual,,1285,,CXUAPPARELLB0402M
2013,A01,Annual,,1513,,CXUAPPARELLB0402M
2012,A01,Annual,,1246,,CXUAPPARELLB0402M
2011,A01,Annual,,1448,,CXUAPPARELLB0402M
2010,A01,Annual,,1559,,CXUAPPARELLB0402M
2009,A01,Annual,,1396,,CXUAPPARELLB0402M
2008,A01,Annual,,1351,,CXUAPPARELLB0402M
2007,A01,Annual,,1477,,CXUAPPARELLB0402M
2006,A01,Annual,,1464,,CXUAPPARELLB0402M
2018,A01,Annual,true,1409,,CXUENTRTAINLB0402M
2017,A01,Annual,,1488,,CXUENTRTAINLB0402M
2016,A01,Annual,,1454,,CXUENTRTAINLB0402M
2015,A01,Annual,,1354,,CXUENTRTAINLB0402M
2014,A01,Annual,,1319,,CXUENTRTAINLB0402M
2013,A01,Annual,,1243,,CXUENTRTAINLB0402M
2012,A01,Annual,,1257,,CXUENTRTAINLB0402M
2011,A01,Annual,,1345,,CXUENTRTAINLB0402M
2010,A01,Annual,,1221,,CXUENTRTAINLB0402M
2009,A01,Annual,,1233,,CXUENTRTAINLB0402M
